1,Airport
2,Amusement park
3,Aquarium
4,Auditorium
5,Beach
6,Boat dock
7,Bridge
8,Bus station
9,Business location
10,Canal
11,Car rental location
12,Casino
13,Cemetery
14,Church
15,Concert hall
16,Conference center
17,Convention center
18,Entertainment district
19,Factory
20,Fairground
21,Farm
22,Gallery
23,Historic building
24,Hospital
25,Lake
26,Landmark
27,Library
28,Marina
29,Market
30,Monument
31,Mountain
32,Museum
33,Ocean
34,Orchard
35,Palace
36,Park
37,Pier
38,Race track
39,Recreation center
40,Resort
41,Restaurant
42,River
43,School
44,Shopping mall
45,Ski area
46,Stadium
47,Store
48,Studio
49,Subway station
50,Theater/cinema
51,Train station
52,Trolley station
53,University
54,Water park
55,Waterfront
56,Winery
57,Zoo
58,City event
59,Festival
60,Tournament
61,Tour
62,Other
63,College
64,Nightlife
65,Shopping  
66,Sports
67,City center
68,City downtown
69,Local company
70,Cruise port
71,Live theatre
72,Arena
73,Bar
74,Bay
75,Cathedral
76,Corporate offices
77,Educational institution
78,Financial district
79,Financial institution
80,Medical facility
81,Mosque
82,Synagogue
83,Suburb
84,Army base
85,Commercial district
86,Tourist site
87,Miscellaneous
88,Agricultural
89,Archeological
90,Botanical garden
91,Bowling
92,Cultural center
93,Equestrian center
94,Handicraft center
95,Natural attraction
96,Performing art center
97,Planetarium/science center
98,Cable cars
99,Company
100,Factory/business tour
101,Nighttime entertainment
102,Local bus stop
103,Convention and visitors bureau
